image_id,image_name,intersection,union,IoU,precision,recall,split
130,frame_0130.png,707118,1813651,0.3898864776078749,0.6819617933663038,0.4765328217020098,discovery
131,frame_0131.png,757180,1808319,0.4187203695808096,0.6946981533862842,0.5131482462905559,discovery
132,frame_0132.png,778631,1803720,0.4316806377930056,0.6935485451291867,0.5334280120081607,discovery
134,frame_0134.png,876691,1811999,0.48382532219940516,0.6977940503432495,0.6120797450281538,discovery
135,frame_0135.png,936180,1820963,0.5141125876802549,0.707974908022551,0.6524775440337662,discovery
136,frame_0136.png,1003438,1853907,0.541255845088238,0.7050690110927875,0.6996655900842857,discovery
138,frame_0138.png,1028751,1900123,0.5414128453789571,0.6841346096296799,0.721855554651166,discovery
139,frame_0139.png,999660,1899702,0.5262193754599406,0.6748463358569919,0.7049554774982776,discovery
140,frame_0140.png,900481,1900150,0.4738999552666895,0.6484419781606182,0.6377583577853843,discovery
142,frame_0142.png,665091,1892796,0.35138018043148866,0.5758109382183124,0.4741045995397894,discovery
143,frame_0143.png,518058,1898026,0.2729456814606333,0.5094458184392839,0.37025855876910674,discovery
144,frame_0144.png,515956,1908366,0.2703653282441628,0.5018812424370941,0.36952240169937506,discovery
146,frame_0146.png,535784,1946181,0.2753001904756032,0.491000799114376,0.3852463083054768,discovery
147,frame_0147.png,803704,1950818,0.4119830758174263,0.58725351294516,0.5798977012729979,discovery
148,frame_0148.png,490592,1955127,0.2509258989313738,0.45962779472496834,0.35592675595693696,discovery
150,frame_0150.png,530347,1900934,0.2789928529870053,0.4868096644679714,0.3952365657187444,discovery
151,frame_0151.png,688234,1851888,0.37163910560465857,0.5631107838324333,0.5222114814078527,discovery
152,frame_0152.png,468139,1865978,0.2508813072822938,0.4503319731189312,0.36161597435451787,discovery
154,frame_0154.png,859203,1853309,0.4636048279051146,0.5883545645595676,0.6861750427061014,discovery
155,frame_0155.png,943989,1779233,0.5305595163758766,0.6339087375667828,0.7649420695489544,discovery
156,frame_0156.png,951367,1859418,0.511647730633994,0.6086750398109293,0.7624525955062303,discovery
158,frame_0158.png,885401,1880584,0.4708117265700442,0.5971589456723561,0.6899429282098596,discovery
159,frame_0159.png,851179,1886472,0.4512015020631104,0.5932185198581872,0.6533448674472406,discovery
160,frame_0160.png,843161,1901478,0.4434240101647245,0.5922401155876913,0.6382950858392167,discovery
162,frame_0162.png,768976,1894402,0.40592017956062126,0.5863242649749909,0.5688289746408277,discovery
163,frame_0163.png,719698,1899133,0.37896134709891305,0.5734773365461541,0.5276923787576282,discovery
164,frame_0164.png,679051,1888786,0.3595171713470981,0.5689214595467738,0.49412084021885216,discovery
